exam_id,name,subject,exam_count,difficulty,osym_fit,solution_clarity,layout,notes
127,Köşe Bilgi,TYT Sosyal Genel,20,7,8,8,8,""
128,3D,TYT Genel,5,7,8,8,9,""
129,Bilgi Sarmal,TYT Genel,5,6,5.5,7,7,""
130,Palme,TYT Genel,10,5,5,6,5,""
131,Aydın Yayınları,TYT Genel,5,8,6,7,6,""
132,345,TYT Genel,5,6,8,6,8,""
133,Limit,TYT Genel,5,6,5,5.5,8,""
134,Yanıt,TYT Genel,5,5,6,7,7,""
135,Yayın Denizi,TYT Genel,5,5,5.5,4,5,""
136,Hız ve Renk,TYT Genel,8,5,6,5.5,5,""
137,Apotemi,TYT Genel,3,9,7,6,7,""
138,Toprak,TYT Genel,5,7,7,6,6,""
139,Ünlüler Karması,TYT Genel,10,5,6,5,5,""
140,Paraf,TYT Genel,4,7,6,5,7,""
141,Altın Karma,TYT Genel,10,5,5,5.5,6,""
142,Rasyonel,TYT Genel,6,7,7,5,7,""
